,id,date,user,pc,to,cc,bcc,from,activity,size,attachments,content
0,{I1O2-B4EB49RW-7379WSQW},1/2/2010 6:36,HDB1666,PC-6793,Louis.Bernard.Garza@dtaa.com,Emery.Ali.Holloway@dtaa.com,Hector.Donovan.Bray@dtaa.com,Hector.Donovan.Bray@dtaa.com,Send,45659,NaN,"Now Sylvia, the object of Aminta's desire, arr..."
1,{L7E7-V4UX89RR-3036ZDHU},1/2/2010 6:40,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,NaN,NaN,Luke.Grant.Mcmahon@dtaa.com,View,34142,NaN,"On May 14, they picked up 44 more Iroquois at ..."
2,{S8C2-Q8YX87DJ-0516SIWZ},1/2/2010 6:42,HDB1666,PC-6793,Quintessa.O.Farrell@harris.com,Hector.Donovan.Bray@dtaa.com,NaN,Hector.Donovan.Bray@dtaa.com,Send,1310925,C:\28X79b6\0PAGXTJ8.doc(1119253);C:\11b38g6\5M...,Sylvia is notable for its mythological Arcadia...
3,{A1V9-O5BL46SW-1708NAEC},1/2/2010 6:45,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,NaN,NaN,Travis.Ezra.Warner@dtaa.com,View,23043,NaN,Lanctot (1967) and Smith do not identify any s...
4,{N6R0-M2EI82DM-5583LSUM},1/2/2010 6:47,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,NaN,NaN,Kenyon.William.Delacruz@dtaa.com,View,25210,NaN,Much like all the other large groups of prison...
5,{O2N1-C4ZZ85NQ-8332GEGR},1/2/2010 6:47,HDB1666,PC-6793,Louis.Bernard.Garza@dtaa.com;Sawyer.Stuart.Hoo...,Hector.Donovan.Bray@dtaa.com,NaN,Hector.Donovan.Bray@dtaa.com,Send,174788,C:\11b38g6\5M1U5X8R.doc(155895),"Due to incompatibilities, it is recommended to..."
6,{Q5K6-Q1NE29SP-5403DYSX},1/2/2010 6:50,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,NaN,NaN,Molina.Curran@northropgrumman.com,View,29505,NaN,The number of imprisoned children increased 6....
7,{H7X3-J1DI93OZ-8096OYHP},1/2/2010 6:52,LIM1718,PC-7539,Ashton.Jerome.Meyers@dtaa.com;Finn.Cairo.Schro...,Nicole.Judith.Cooper@dtaa.com,Lisandra.Inez.Myers@dtaa.com,Lisandra.Inez.Myers@dtaa.com,Send,2834225,C:\217BMv8\813NENCZ.doc(1494252);C:\LIM1718\PE...,Since many of Du Fu's poems prominently featur...
8,{Z4F1-N5SI80JP-1919TEYG},1/2/2010 6:54,LIM1718,PC-7539,Lisandra.Inez.Myers@dtaa.com,NaN,NaN,Maryam_Mosley@northropgrumman.com,View,27163,NaN,Murray explained: Fourth through sixth grades ...
9,{K0M2-D6DQ22PU-4817BJOT},1/2/2010 6:58,LIM1718,PC-7539,Lisandra.Inez.Myers@dtaa.com,NaN,NaN,Joan.Martina.Fulton@dtaa.com,View,20269,NaN,In Rainbows won awards for Best Alternative Mu...
10,{I5A5-I3DX82CH-0170HBBS},1/2/2010 6:59,LIM1718,PC-7539,Lisandra.Inez.Myers@dtaa.com,NaN,NaN,Joan.Martina.Fulton@dtaa.com,View,20269,NaN,In Rainbows won awards for Best Alternative Mu...
11,{P4B0-D7CG41WP-7808NYYL},1/2/2010 6:59,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,NaN,NaN,Jamalia_Jacobson@lockheedmartin.com,View,21024,NaN,"Although the plan was abandoned, the prisoners..."
12,{S5J9-I4FH92LC-1334KRVD},1/2/2010 7:00,HDB1666,PC-6793,Louis.Bernard.Garza@dtaa.com,Hector.Donovan.Bray@dtaa.com,NaN,Hector.Donovan.Bray@dtaa.com,Send,19822,NaN,"In fact, the first seven productions of Sylvia..."
13,{I0S8-Q3ME79LN-4645WYIS},1/2/2010 7:02,HDB1666,PC-6793,Hector.Donovan.Bray@dtaa.com,NaN,NaN,Oleg.Hammett.Davidson@dtaa.com,View,22858,NaN,"Here, at least 11 of them are situated on top ..."
14,{L7N2-K9GK48KI-3741AXLS},1/2/2010 7:03,HDB1666,PC-6793,Christen.Nichole.Todd@dtaa.com;Cheryl.Brianna....,NaN,Hector.Donovan.Bray@dtaa.com,Hector.Donovan.Bray@dtaa.com,Send,45215,NaN,Throughout the rehearsal period the score was ...
15,{X8I1-S3GO75IU-4815SRQE},1/2/2010 7:03,LIM1718,PC-7539,Lisandra.Inez.Myers@dtaa.com,NaN,NaN,GJH8633@hp.com,View,31594,NaN,"The album's download and ""discbox"" sales were ..."
16,{B5K1-I0JY18SQ-3952PSXI},1/2/2010 7:04,MBA1797,PC-0470,Rhoda.Avye.Irwin@dtaa.com,Christopher.Jerome.Mueller@dtaa.com,Mikayla.Brynn.Alford@dtaa.com;Lucius.Orlando.P...,Mikayla.Brynn.Alford@dtaa.com,Send,41923,NaN,Results differ slightly between researchers. A...
17,{F9F3-M4MT31NQ-1307WPHA},1/2/2010 7:08,MBA1797,PC-0470,Mikayla.Brynn.Alford@dtaa.com,NaN,NaN,Janna.Echo.Terry@dtaa.com,View,22795,NaN,The scout was allowed to notify Sherburne of h...
18,{K8M7-T4PT20MO-7348PZZF},1/2/2010 7:09,ATH0225,PC-7844,Silas.Kelly.Levy@dtaa.com;Sage.Justine.Garrett...,NaN,Andrew.Tobias.Hoover@dtaa.com,Andrew.Tobias.Hoover@dtaa.com,Send,1734457,C:\7TORMXD6.doc(1379680);C:\64dL9z2\9Y1A7RB7.d...,H. pylori's helix shape (from which the generi...
19,{T5D4-B0FG27UL-9243ZUGJ},1/2/2010 7:10,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,NaN,NaN,Alana.Brianna.Everett@dtaa.com,View,36707,NaN,"The program was marred by various concerns, no..."
20,{P0N5-C8ID55NI-2897XEXX},1/2/2010 7:10,ATH0225,PC-7844,Andrew.Tobias.Hoover@dtaa.com,NaN,NaN,ADW6237@harris.com,View,22669,NaN,"Like many rodents, guinea pigs sometimes parti..."
